"Step","exp100_sgd - metrics/mAP50-95(B)","exp100_sgd - metrics/mAP50-95(B)__MIN","exp100_sgd - metrics/mAP50-95(B)__MAX"
"1","0.0237","0.0237","0.0237"
"2","0.10406","0.10406","0.10406"
"3","0.15276","0.15276","0.15276"
"4","0.21577","0.21577","0.21577"
"5","0.25101","0.25101","0.25101"
"6","0.28224","0.28224","0.28224"
"7","0.30291","0.30291","0.30291"
"8","0.31907","0.31907","0.31907"
"9","0.33052","0.33052","0.33052"
"10","0.34245","0.34245","0.34245"
"11","0.34857","0.34857","0.34857"
"12","0.35291","0.35291","0.35291"
"13","0.35713","0.35713","0.35713"
"14","0.35982","0.35982","0.35982"
"15","0.36382","0.36382","0.36382"
"16","0.36708","0.36708","0.36708"
"17","0.37021","0.37021","0.37021"
"18","0.37237","0.37237","0.37237"
"19","0.37549","0.37549","0.37549"
"20","0.37759","0.37759","0.37759"
"21","0.37967","0.37967","0.37967"
"22","0.3831","0.3831","0.3831"
"23","0.3851","0.3851","0.3851"
"24","0.38643","0.38643","0.38643"
"25","0.38919","0.38919","0.38919"
"26","0.39096","0.39096","0.39096"
"27","0.39252","0.39252","0.39252"
"28","0.39521","0.39521","0.39521"
"29","0.39732","0.39732","0.39732"
"30","0.3997","0.3997","0.3997"
"31","0.40189","0.40189","0.40189"
"32","0.40411","0.40411","0.40411"
"33","0.40568","0.40568","0.40568"
"34","0.40718","0.40718","0.40718"
"35","0.40963","0.40963","0.40963"
"36","0.41211","0.41211","0.41211"
"37","0.41406","0.41406","0.41406"
"38","0.416","0.416","0.416"
"39","0.41799","0.41799","0.41799"
"40","0.42024","0.42024","0.42024"
"41","0.42096","0.42096","0.42096"
"42","0.42315","0.42315","0.42315"
"43","0.42503","0.42503","0.42503"
"44","0.42764","0.42764","0.42764"
"45","0.4293","0.4293","0.4293"
"46","0.43021","0.43021","0.43021"
"47","0.43194","0.43194","0.43194"
"48","0.43289","0.43289","0.43289"
"49","0.43312","0.43312","0.43312"
"50","0.43512","0.43512","0.43512"
"51","0.43661","0.43661","0.43661"
"52","0.4377","0.4377","0.4377"
"53","0.43847","0.43847","0.43847"
"54","0.43973","0.43973","0.43973"
"55","0.44063","0.44063","0.44063"
"56","0.44155","0.44155","0.44155"
"57","0.44233","0.44233","0.44233"
"58","0.44305","0.44305","0.44305"
"59","0.44418","0.44418","0.44418"
"60","0.44549","0.44549","0.44549"
"61","0.44684","0.44684","0.44684"
"62","0.44801","0.44801","0.44801"
"63","0.44861","0.44861","0.44861"
"64","0.44944","0.44944","0.44944"
"65","0.45104","0.45104","0.45104"
"66","0.45128","0.45128","0.45128"
"67","0.45228","0.45228","0.45228"
"68","0.45293","0.45293","0.45293"
"69","0.45406","0.45406","0.45406"
"70","0.45448","0.45448","0.45448"
"71","0.45486","0.45486","0.45486"
"72","0.45547","0.45547","0.45547"
"73","0.45648","0.45648","0.45648"
"74","0.45709","0.45709","0.45709"
"75","0.45719","0.45719","0.45719"
"76","0.458","0.458","0.458"
"77","0.45894","0.45894","0.45894"
"78","0.46012","0.46012","0.46012"
"79","0.46117","0.46117","0.46117"
"80","0.46212","0.46212","0.46212"
"81","0.46271","0.46271","0.46271"
"82","0.46323","0.46323","0.46323"
"83","0.46426","0.46426","0.46426"
"84","0.46463","0.46463","0.46463"
"85","0.46491","0.46491","0.46491"
"86","0.46495","0.46495","0.46495"
"87","0.46533","0.46533","0.46533"
"88","0.46596","0.46596","0.46596"
"89","0.46643","0.46643","0.46643"
"90","0.46674","0.46674","0.46674"
"91","0.46695","0.46695","0.46695"
"92","0.46683","0.46683","0.46683"
"93","0.46766","0.46766","0.46766"
"94","0.46894","0.46894","0.46894"
"95","0.46958","0.46958","0.46958"
"96","0.47033","0.47033","0.47033"
"97","0.4706","0.4706","0.4706"
"98","0.47225","0.47225","0.47225"
"99","0.47265","0.47265","0.47265"
"100","0.4734518981925024","0.4734518981925024","0.4734518981925024"